St Case Num,Age,Sex,Race,Seat Pos,AirBag Deployed,Is Fatal,Is Drug,Is Drunk,BAC,Case Date,Make Name,Model Name,Model Year,State,County
40598,24,1,,"Front Seat, Left Side",False,False,Not Reported,Not Reported,Test Not Given,2021-09-06,Jeep / Kaiser-Jeep / Willys- Jeep,Jeep / Kaiser-Jeep / Willys- Jeep Grand Cherokee (For 2014 on.  Use model 404 for model years prior to 2013.),2020,Arizona,MARICOPA (13)
40598,23,2,,"Front Seat, Right Side",False,False,Not Reported,Not Reported,Test Not Given,2021-09-06,Jeep / Kaiser-Jeep / Willys- Jeep,Jeep / Kaiser-Jeep / Willys- Jeep Grand Cherokee (For 2014 on.  Use model 404 for model years prior to 2013.),2020,Arizona,MARICOPA (13)
280449,999,9,,"Front Seat, Left Side",False,False,Reported as Unknown,Reported as Unknown,Test Not Given,2021-09-06,Jeep / Kaiser-Jeep / Willys- Jeep,Jeep / Kaiser-Jeep / Willys- Jeep Unknown (JEEP),9999,Mississippi,HINDS (49)
170927,28,2,,"Front Seat, Left Side",True,True,Not Reported,Reported as Unknown,0.181 % BAC,2021-09-06,KIA,KIA Optima,2011,Illinois,WILL (197)
482835,42,1,,"Front Seat, Left Side",False,True,Not Reported,Yes (Alcohol Involved),Not Reported,2021-09-06,Honda,Honda CR-V,1998,Texas,CALDWELL (55)
482835,36,2,,"Front Seat, Right Side",False,False,Not Reported,Not Reported,Test Not Given,2021-09-06,Honda,Honda CR-V,1998,Texas,CALDWELL (55)
470852,20,1,,"Front Seat, Left Side",True,True,No (drugs not involved),Yes (Alcohol Involved),0.161 % BAC,2021-09-06,Ford,Ford Mustang/Mustang II,2016,Tennessee,ROBERTSON (147)
371048,54,1,,"Front Seat, Left Side",False,True,Reported as Unknown,Reported as Unknown,0.220 % BAC,2021-09-06,Harley-Davidson,Harley-Davidson 750cc or greater,2014,North Carolina,MECKLENBURG (119)
290616,32,1,,"Front Seat, Left Side",False,True,Not Reported,Reported as Unknown,0.000 % BAC,2021-09-06,Honda,Honda 750 cc or greater,2003,Missouri,JACKSON (95)
290616,41,2,,"Second Seat, Left Side",False,False,Not Reported,Not Reported,Test Not Given,2021-09-06,Honda,Honda 750 cc or greater,2003,Missouri,JACKSON (95)
