St Case Num,Age,Sex,Race,Seat Pos,AirBag Deployed,Is Fatal,Is Drug,Is Drunk,BAC,Case Date,Make Name,Model Name,Model Year,State,County
61625,20,1,,"Front Seat, Left Side",True,False,No (drugs not involved),No (Alcohol Not Involved),Test Not Given,2019-04-24,Mercedes-Benz,Mercedes-Benz C Class (94 on),2017,California,LOS ANGELES (37)
10219,27,1,,"Front Seat, Left Side",False,True,Reported as Unknown,Reported as Unknown,0.000 % BAC,2019-04-24,Honda,Honda 450-749 cc,2001,Alabama,MADISON (89)
61515,57,2,,"Front Seat, Left Side",False,False,No (drugs not involved),No (Alcohol Not Involved),Test Not Given,2019-04-24,Ford,Ford Fusion,2011,California,RIVERSIDE (65)
40276,58,2,,"Front Seat, Left Side",True,False,Not Reported,Yes (Alcohol Involved),0.212 % BAC,2019-04-24,Chevrolet,Chevrolet Camaro,2011,Arizona,APACHE (1)
40276,44,2,,"Front Seat, Right Side",True,False,Not Reported,Not Reported,Test Not Given,2019-04-24,Chevrolet,Chevrolet Camaro,2011,Arizona,APACHE (1)
40276,48,1,,Reported as Unknown,True,True,Not Reported,Not Reported,Test Not Given,2019-04-24,Chevrolet,Chevrolet Camaro,2011,Arizona,APACHE (1)
360203,25,1,,"Front Seat, Left Side",False,False,Not Reported,Not Reported,Not Reported,2019-04-24,Ford,Ford Transit,2018,New York,NASSAU (59)
480966,63,1,,"Front Seat, Left Side",True,False,Not Reported,Not Reported,Test Not Given,2019-04-24,Ford,Ford F-Series pickup,2012,Texas,FAYETTE (149)
480966,62,2,,"Front Seat, Right Side",True,False,Not Reported,Not Reported,Test Not Given,2019-04-24,Ford,Ford F-Series pickup,2012,Texas,FAYETTE (149)
130418,25,1,,"Front Seat, Left Side",True,False,Yes (drugs involved),Not Reported,0.000 % BAC,2019-04-24,GMC,"GMC C, K, R, V-series pickup/     Sierra",1999,Georgia,MONTGOMERY (209)
130416,69,2,,"Front Seat, Left Side",False,True,Reported as Unknown,Reported as Unknown,0.000 % BAC,2019-04-24,Ford,Ford Taurus/Taurus X,1998,Georgia,BULLOCH (31)
240132,69,1,,"Front Seat, Left Side",True,True,No (drugs not involved),No (Alcohol Not Involved),Test Not Given,2019-04-24,Ford,Ford Ranger,1995,Maryland,DORCHESTER (19)
240132,25,2,,"Front Seat, Right Side",False,False,Not Reported,Not Reported,Test Not Given,2019-04-24,Ford,Ford Ranger,1995,Maryland,DORCHESTER (19)
40277,70,1,,"Front Seat, Left Side",True,True,Reported as Unknown,Reported as Unknown,Test Not Given,2019-04-24,Hyundai,Hyundai Veloster,2013,Arizona,YUMA (27)
120938,84,1,,"Front Seat, Left Side",False,True,No (drugs not involved),No (Alcohol Not Involved),0.000 % BAC,2019-04-24,Toyota,Toyota Camry,2005,Florida,HAMILTON (47)
40305,80,1,,"Front Seat, Left Side",False,False,No (drugs not involved),No (Alcohol Not Involved),0.000 % BAC,2019-04-24,Honda,Honda CR-V,2018,Arizona,MARICOPA (13)
40305,61,2,,"Front Seat, Right Side",False,False,Not Reported,Not Reported,Test Not Given,2019-04-24,Honda,Honda CR-V,2018,Arizona,MARICOPA (13)
40305,60,2,,"Second Seat, Left Side",False,False,Not Reported,Not Reported,Test Not Given,2019-04-24,Honda,Honda CR-V,2018,Arizona,MARICOPA (13)
360482,18,1,,"Front Seat, Left Side",True,True,Not Reported,No (Alcohol Not Involved),0.000 % BAC,2019-04-24,Toyota,Toyota Sienna,2005,New York,SUFFOLK (103)
360482,19,1,,"Front Seat, Right Side",True,False,Not Reported,Not Reported,Test Not Given,2019-04-24,Toyota,Toyota Sienna,2005,New York,SUFFOLK (103)
360482,15,1,,"Second Seat, Right Side",False,True,Not Reported,Not Reported,0.000 % BAC,2019-04-24,Toyota,Toyota Sienna,2005,New York,SUFFOLK (103)
360482,16,2,,"Second Seat, Left Side",True,True,Not Reported,Not Reported,0.000 % BAC,2019-04-24,Toyota,Toyota Sienna,2005,New York,SUFFOLK (103)
240311,21,2,,"Front Seat, Left Side",False,False,No (drugs not involved),No (Alcohol Not Involved),Test Not Given,2019-04-24,Infiniti,Infiniti G25/G35/G37,2006,Maryland,BALTIMORE (510)
420184,23,1,,"Front Seat, Left Side",True,False,No (drugs not involved),No (Alcohol Not Involved),Test Not Given,2019-04-24,Ford,Ford Fusion,2015,Pennsylvania,PHILADELPHIA (101)
130415,53,1,,"Front Seat, Left Side",False,True,Not Reported,No (Alcohol Not Involved),0.000 % BAC,2019-04-24,Harley-Davidson,Harley-Davidson 750cc or greater,2001,Georgia,BIBB (21)
370295,35,1,,"Front Seat, Left Side",False,False,No (drugs not involved),Yes (Alcohol Involved),0.000 % BAC,2019-04-24,Dodge,"Dodge Medium/Heavy Pickup (pickup-style only - over 10,000 lbs)",2018,North Carolina,CABARRUS (25)
130417,43,1,,"Front Seat, Left Side",False,True,Reported as Unknown,Reported as Unknown,0.186 % BAC,2019-04-24,Harley-Davidson,Harley-Davidson 750cc or greater,2003,Georgia,GORDON (129)
120995,40,1,,"Front Seat, Left Side",True,True,No (drugs not involved),No (Alcohol Not Involved),Reported as Unknown if Tested,2019-04-24,Chevrolet,"Chevrolet C, K, R, V-series pickup/Silverado",2006,Florida,BAY (5)
120995,42,1,,"Front Seat, Right Side",True,False,Not Reported,Not Reported,Test Not Given,2019-04-24,Chevrolet,"Chevrolet C, K, R, V-series pickup/Silverado",2006,Florida,BAY (5)
120973,999,9,,"Front Seat, Left Side",True,False,Not Reported,No (Alcohol Not Involved),Test Not Given,2019-04-24,Unknown Make,"Unknown Make Unknown (as to automobile, motored cycle, light truck or truck)",9999,Florida,ORANGE (95)
170223,79,2,,"Front Seat, Left Side",True,True,No (drugs not involved),No (Alcohol Not Involved),Test Not Given,2019-04-24,Ford,Ford Escape,2006,Illinois,LASALLE (99)
450247,63,1,,"Front Seat, Left Side",False,False,No (drugs not involved),No (Alcohol Not Involved),Test Not Given,2019-04-24,Ford,Ford F-Series pickup,2008,South Carolina,SUMTER (85)
280201,25,2,,"Front Seat, Left Side",True,False,Not Reported,Not Reported,Not Reported,2019-04-24,Ford,"Ford Bronco (thru 1977)/Bronco II/Explorer/Explorer Sport (Explorer for 1990-2018 only.  For model years 2019 on, see 12-425.)",2002,Mississippi,CHICKASAW (17)
280201,24,2,,"Front Seat, Right Side",True,True,Not Reported,Not Reported,Test Not Given,2019-04-24,Ford,"Ford Bronco (thru 1977)/Bronco II/Explorer/Explorer Sport (Explorer for 1990-2018 only.  For model years 2019 on, see 12-425.)",2002,Mississippi,CHICKASAW (17)
280201,998,8,,Not Reported,True,False,Not Reported,Not Reported,Test Not Given,2019-04-24,Ford,"Ford Bronco (thru 1977)/Bronco II/Explorer/Explorer Sport (Explorer for 1990-2018 only.  For model years 2019 on, see 12-425.)",2002,Mississippi,CHICKASAW (17)
280201,998,8,,Not Reported,True,False,Not Reported,Not Reported,Test Not Given,2019-04-24,Ford,"Ford Bronco (thru 1977)/Bronco II/Explorer/Explorer Sport (Explorer for 1990-2018 only.  For model years 2019 on, see 12-425.)",2002,Mississippi,CHICKASAW (17)
280201,998,8,,Not Reported,True,False,Not Reported,Not Reported,Test Not Given,2019-04-24,Ford,"Ford Bronco (thru 1977)/Bronco II/Explorer/Explorer Sport (Explorer for 1990-2018 only.  For model years 2019 on, see 12-425.)",2002,Mississippi,CHICKASAW (17)
280201,998,8,,Not Reported,True,False,Not Reported,Not Reported,Test Not Given,2019-04-24,Ford,"Ford Bronco (thru 1977)/Bronco II/Explorer/Explorer Sport (Explorer for 1990-2018 only.  For model years 2019 on, see 12-425.)",2002,Mississippi,CHICKASAW (17)
280201,998,8,,Not Reported,True,False,Not Reported,Not Reported,Test Not Given,2019-04-24,Ford,"Ford Bronco (thru 1977)/Bronco II/Explorer/Explorer Sport (Explorer for 1990-2018 only.  For model years 2019 on, see 12-425.)",2002,Mississippi,CHICKASAW (17)
310090,27,1,,"Front Seat, Left Side",True,False,No (drugs not involved),No (Alcohol Not Involved),Test Not Given,2019-04-24,Pontiac,Pontiac Grand Prix (FWD),2000,Nebraska,DOUGLAS (55)
121037,44,1,,"Front Seat, Left Side",False,True,No (drugs not involved),Yes (Alcohol Involved),0.228 % BAC,2019-04-24,Kawasaki,Kawasaki 750cc or greater,2010,Florida,BROWARD (11)
260201,30,1,,"Front Seat, Left Side",False,False,No (drugs not involved),No (Alcohol Not Involved),Test Not Given,2019-04-24,Cadillac,Cadillac XT5,2018,Michigan,LIVINGSTON (93)
60341,75,1,,"Front Seat, Left Side",True,True,Reported as Unknown,Reported as Unknown,0.000 % BAC,2019-04-24,Honda,"Honda Civic/CRX, del Sol",1998,California,LOS ANGELES (37)
470274,76,1,,"Front Seat, Left Side",True,False,No (drugs not involved),No (Alcohol Not Involved),Test Not Given,2019-04-24,Chevrolet,"Chevrolet C, K, R, V-series pickup/Silverado",2007,Tennessee,DAVIDSON (37)
480895,32,2,,"Front Seat, Left Side",True,False,No (drugs not involved),No (Alcohol Not Involved),0.000 % BAC,2019-04-24,Dodge,Dodge Ram Pickup,2006,Texas,LEON (289)
63319,63,1,,"Front Seat, Left Side",False,False,No (drugs not involved),No (Alcohol Not Involved),Test Not Given,2019-04-24,Ford,Ford E-Series Van/Econoline,1986,California,LOS ANGELES (37)
340125,16,1,,"Front Seat, Left Side",False,True,Yes (drugs involved),No (Alcohol Not Involved),0.000 % BAC,2019-04-24,Kawasaki,Kawasaki Unknown cc (ATV),9999,New Jersey,ATLANTIC (1)
490158,39,1,,"Front Seat, Left Side",False,False,No (drugs not involved),No (Alcohol Not Involved),Test Not Given,2019-04-24,Honda,Honda Ridgeline,2012,Utah,UTAH (49)
80119,998,8,,"Front Seat, Left Side",True,False,No (drugs not involved),No (Alcohol Not Involved),Test Not Given,2019-04-24,Unknown Make,Unknown Make Unknown (automobile),9999,Colorado,ADAMS (1)
370348,37,2,,"Front Seat, Left Side",False,False,No (drugs not involved),No (Alcohol Not Involved),Test Not Given,2019-04-24,Dodge,Dodge Caravan/Grand Caravan,2014,North Carolina,MECKLENBURG (119)
370348,11,2,,"Front Seat, Right Side",False,False,No (drugs not involved),No (Alcohol Not Involved),Test Not Given,2019-04-24,Dodge,Dodge Caravan/Grand Caravan,2014,North Carolina,MECKLENBURG (119)
370348,5,2,,"Second Seat, Middle",False,False,No (drugs not involved),No (Alcohol Not Involved),Test Not Given,2019-04-24,Dodge,Dodge Caravan/Grand Caravan,2014,North Carolina,MECKLENBURG (119)
370348,7,1,,"Second Seat, Right Side",False,False,No (drugs not involved),No (Alcohol Not Involved),Test Not Given,2019-04-24,Dodge,Dodge Caravan/Grand Caravan,2014,North Carolina,MECKLENBURG (119)
370348,27,1,,"Third Seat, Middle",False,False,No (drugs not involved),No (Alcohol Not Involved),Test Not Given,2019-04-24,Dodge,Dodge Caravan/Grand Caravan,2014,North Carolina,MECKLENBURG (119)
