St Case Num,Age,Sex,Race,Seat Pos,AirBag Deployed,Is Fatal,Is Drug,Is Drunk,BAC,Case Date,Make Name,Model Name,Model Year,State,County
90026,57,1,,"Front Seat, Left Side",True,True,Not Reported,Not Reported,0.000 % BAC,2020-02-25,Nissan/Datsun,Nissan/Datsun Sentra,2004,Connecticut,TOLLAND (13)
60126,70,1,,"Front Seat, Left Side",False,True,No (drugs not involved),No (Alcohol Not Involved),0.110 % BAC,2020-02-25,Ford,Ford E-Series Van/Econoline,2014,California,SAN BERNARDINO (71)
190029,18,1,,"Front Seat, Left Side",True,True,Not Reported,No (Alcohol Not Involved),0.000 % BAC,2020-02-25,Dodge,Dodge Stratus,2002,Iowa,SIOUX (167)
120378,30,2,,"Front Seat, Left Side",True,True,Yes (drugs involved),No (Alcohol Not Involved),0.000 % BAC,2020-02-25,Nissan/Datsun,Nissan/Datsun Altima,2015,Florida,DUVAL (31)
250035,82,1,,"Front Seat, Left Side",True,True,No (drugs not involved),No (Alcohol Not Involved),Test Not Given,2020-02-25,Ford,Ford Fusion,2011,Massachusetts,MIDDLESEX (17)
61267,34,1,,"Front Seat, Left Side",True,True,Reported as Unknown,Reported as Unknown,0.000 % BAC,2020-02-25,Mercedes-Benz,Mercedes-Benz C Class (94 on),2006,California,SAN BERNARDINO (71)
480625,64,2,,"Front Seat, Left Side",False,True,Not Reported,Not Reported,0.000 % BAC,2020-02-25,Other Make,Other Make 125-349cc,2016,Texas,HARRIS (201)
420040,18,1,,"Front Seat, Left Side",False,True,No (drugs not involved),No (Alcohol Not Involved),Test Not Given,2020-02-25,GMC,GMC Jimmy/Typhoon/Envoy,2001,Pennsylvania,DAUPHIN (43)
420040,16,2,,"Front Seat, Right Side",False,False,Not Reported,Not Reported,Test Not Given,2020-02-25,GMC,GMC Jimmy/Typhoon/Envoy,2001,Pennsylvania,DAUPHIN (43)
10119,42,1,,"Front Seat, Left Side",True,True,Reported as Unknown,Reported as Unknown,0.000 % BAC,2020-02-25,Ford,Ford Taurus/Taurus X,1997,Alabama,CRENSHAW (41)
60799,47,2,,"Front Seat, Left Side",False,False,No (drugs not involved),No (Alcohol Not Involved),Test Not Given,2020-02-25,Nissan/Datsun,Nissan/Datsun Sentra,2015,California,SACRAMENTO (67)
410257,58,1,,"Front Seat, Left Side",False,False,Not Reported,Not Reported,Test Not Given,2020-02-25,Chevrolet,"Chevrolet S-10 Blazer/TrailBlazer (2002 only; for 2003 on, see 403)",1988,Oregon,DESCHUTES (17)
410257,54,1,,"Front Seat, Right Side",False,False,Not Reported,Not Reported,Test Not Given,2020-02-25,Chevrolet,"Chevrolet S-10 Blazer/TrailBlazer (2002 only; for 2003 on, see 403)",1988,Oregon,DESCHUTES (17)
410257,84,1,,"Second Seat, Right Side",False,True,Not Reported,Not Reported,0.000 % BAC,2020-02-25,Chevrolet,"Chevrolet S-10 Blazer/TrailBlazer (2002 only; for 2003 on, see 403)",1988,Oregon,DESCHUTES (17)
