St Case Num,Age,Sex,Race,Seat Pos,AirBag Deployed,Is Fatal,Is Drug,Is Drunk,BAC,Case Date,Make Name,Model Name,Model Year,State,County
130558,48,1,,"Front Seat, Left Side",True,True,Reported as Unknown,Reported as Unknown,0.184 % BAC,2021-05-03,Dodge,Dodge Ram Pickup,2020,Georgia,FULTON (121)
450322,30,1,,"Front Seat, Left Side",True,True,Yes (drugs involved),Yes (Alcohol Involved),0.173 % BAC,2021-05-03,Ford,"Ford Bronco (thru 1977)/Bronco II/Explorer/Explorer Sport (Explorer for 1990-2018 only.  For model years 2019 on, see 12-425.)",2016,South Carolina,CHARLESTON (19)
170441,21,1,,"Front Seat, Left Side",True,False,Not Reported,No (Alcohol Not Involved),Test Not Given,2021-05-04,Chevrolet,"Chevrolet Impala/Caprice (For SS from 2014 on, use 20-021.)",2007,Illinois,WINNEBAGO (201)
170293,27,1,,"Front Seat, Left Side",False,False,Not Reported,No (Alcohol Not Involved),Test Not Given,2021-05-04,Chevrolet,Chevrolet Equinox,2017,Illinois,ROCK ISLAND (161)
60806,77,1,,"Front Seat, Left Side",True,True,Reported as Unknown,Reported as Unknown,Not Reported,2021-05-04,Mitsubishi,Mitsubishi Galant,1999,California,SAN DIEGO (73)
40277,999,9,,"Front Seat, Left Side",False,False,Not Reported,Not Reported,Test Not Given,2021-05-04,Ford,Ford Focus,2013,Arizona,MARICOPA (13)
121285,70,1,,"Front Seat, Left Side",False,True,No (drugs not involved),No (Alcohol Not Involved),Not Reported,2021-05-04,Other Make,Other Make 0-50cc,2020,Florida,MIAMI-DADE (86)
450323,17,1,,"Front Seat, Left Side",False,False,No (drugs not involved),No (Alcohol Not Involved),Test Not Given,2021-05-04,Jeep / Kaiser-Jeep / Willys- Jeep,Jeep / Kaiser-Jeep / Willys- Jeep Cherokee (1984-on) (For Grand Cherokee for 2014 on use 02-422.),2007,South Carolina,RICHLAND (79)
450323,22,2,,"Front Seat, Right Side",False,False,Not Reported,Not Reported,Test Not Given,2021-05-04,Jeep / Kaiser-Jeep / Willys- Jeep,Jeep / Kaiser-Jeep / Willys- Jeep Cherokee (1984-on) (For Grand Cherokee for 2014 on use 02-422.),2007,South Carolina,RICHLAND (79)
470374,28,1,,"Front Seat, Left Side",True,True,Yes (drugs involved),No (Alcohol Not Involved),Test Not Given,2021-05-04,Toyota,Toyota Highlander,2012,Tennessee,SHELBY (157)
160059,44,2,,"Front Seat, Left Side",False,True,No (drugs not involved),Yes (Alcohol Involved),0.131 % BAC,2021-05-04,Honda,"Honda Accord (Note: For Crosstour model years 2010 and 2011 only. For Crosstour model years 2012-2015, see vehicle model 37-405)",2005,Idaho,IDAHO (49)
210208,41,1,,"Front Seat, Left Side",True,True,Not Reported,Yes (Alcohol Involved),0.089 % BAC,2021-05-04,Ford,"Ford Bronco (thru 1977)/Bronco II/Explorer/Explorer Sport (Explorer for 1990-2018 only.  For model years 2019 on, see 12-425.)",2016,Kentucky,JEFFERSON (111)
210208,30,1,,"Front Seat, Right Side",True,True,Not Reported,Not Reported,0.000 % BAC,2021-05-04,Ford,"Ford Bronco (thru 1977)/Bronco II/Explorer/Explorer Sport (Explorer for 1990-2018 only.  For model years 2019 on, see 12-425.)",2016,Kentucky,JEFFERSON (111)
210208,19,2,,"Second Seat, Right Side",False,False,Not Reported,Not Reported,Test Not Given,2021-05-04,Ford,"Ford Bronco (thru 1977)/Bronco II/Explorer/Explorer Sport (Explorer for 1990-2018 only.  For model years 2019 on, see 12-425.)",2016,Kentucky,JEFFERSON (111)
