St Case Num,Age,Sex,Race,Seat Pos,AirBag Deployed,Is Fatal,Is Drug,Is Drunk,BAC,Case Date,Make Name,Model Name,Model Year,State,County
220285,24,1,White,"Front Seat, Left Side",False,True,No (drugs not involved),No (Alcohol Not Involved),0.000 % BAC,2018-06-12,Lincoln,Lincoln Continental (thru `81)/ Town Car,1962,Louisiana,ASCENSION (5)
121527,28,1,Not a Fatality (not Applicable),"Front Seat, Left Side",True,False,No (drugs not involved),No (Alcohol Not Involved),Not Reported,2018-06-12,Buick / Opel,"Buick / Opel LeSabre/Centurion/ Estate Wagon, Invicta, Custom, Limited, T-Type, Ltd, C.M.I, LE",2000,Florida,VOLUSIA (127)
400217,34,1,White,"Front Seat, Left Side",True,True,Reported as Unknown,Reported as Unknown,0.000 % BAC,2018-06-12,Chevrolet,Chevrolet Suburban (from 1950-2003;see 422 for 2004 on),1999,Oklahoma,TULSA (143)
80230,70,2,White,"Front Seat, Left Side",True,True,No (drugs not involved),No (Alcohol Not Involved),0.000 % BAC,2018-06-12,Acura,Acura RDX,2011,Colorado,LAS ANIMAS (71)
62565,82,1,White,"Front Seat, Left Side",True,True,No (drugs not involved),No (Alcohol Not Involved),0.000 % BAC,2018-06-12,Toyota,Toyota Avalon,2000,California,SACRAMENTO (67)
62565,75,2,White,"Front Seat, Right Side",True,True,Not Reported,Not Reported,Test Not Given,2018-06-12,Toyota,Toyota Avalon,2000,California,SACRAMENTO (67)
370631,54,1,Not a Fatality (not Applicable),"Front Seat, Left Side",False,False,No (drugs not involved),No (Alcohol Not Involved),Test Not Given,2018-06-12,Kenworth,Kenworth Medium/Heavy - Unknown engine location,2005,North Carolina,ORANGE (135)
121342,61,1,Black,"Front Seat, Left Side",True,True,No (drugs not involved),No (Alcohol Not Involved),0.000 % BAC,2018-06-12,Ford,Ford F-Series pickup,2004,Florida,ALACHUA (1)
290345,57,1,White,"Front Seat, Left Side",True,True,Not Reported,Reported as Unknown,0.227 % BAC,2018-06-12,Ford,Ford Focus,2014,Missouri,FRANKLIN (71)
200211,15,1,White,"Front Seat, Left Side",False,True,No (drugs not involved),Not Reported,Test Not Given,2018-06-12,Other Make,Other Make 125-349cc,2012,Kansas,WYANDOTTE (209)
340207,46,1,Not a Fatality (not Applicable),"Front Seat, Left Side",False,False,No (drugs not involved),No (Alcohol Not Involved),0.000 % BAC,2018-06-12,Ford,Ford F-Series pickup,2006,New Jersey,UNION (39)
481444,71,1,Not a Fatality (not Applicable),"Front Seat, Left Side",True,False,No (drugs not involved),No (Alcohol Not Involved),0.003 % BAC,2018-06-12,Volkswagen,Volkswagen New Beetle,2007,Texas,HARRIS (201)
481444,71,1,White,"Front Seat, Right Side",True,True,Not Reported,Not Reported,Test Not Given,2018-06-12,Volkswagen,Volkswagen New Beetle,2007,Texas,HARRIS (201)
481444,68,2,White,"Second Seat, Right Side",False,True,Not Reported,Not Reported,Test Not Given,2018-06-12,Volkswagen,Volkswagen New Beetle,2007,Texas,HARRIS (201)
170442,31,1,Not a Fatality (not Applicable),"Front Seat, Left Side",False,False,No (drugs not involved),No (Alcohol Not Involved),Test Not Given,2018-06-12,Freightliner,Freightliner Medium/Heavy - CBE,2016,Illinois,COOK (31)
220284,27,1,Not a Fatality (not Applicable),"Front Seat, Left Side",True,False,Reported as Unknown,No (Alcohol Not Involved),0.000 % BAC,2018-06-12,Ford,Ford F-Series pickup,2003,Louisiana,TANGIPAHOA (105)
300054,65,1,Not a Fatality (not Applicable),"Front Seat, Left Side",False,False,No (drugs not involved),No (Alcohol Not Involved),0.000 % BAC,2018-06-12,Ford,Ford F-Series pickup,2016,Montana,ROOSEVELT (85)
260299,82,1,White,"Front Seat, Left Side",True,True,No (drugs not involved),No (Alcohol Not Involved),0.000 % BAC,2018-06-12,Dodge,Dodge Durango (2004 on; see 402 for 1998-2003 models),2004,Michigan,LEELANAU (89)
260299,81,2,White,"Front Seat, Right Side",True,True,Not Reported,Not Reported,Test Not Given,2018-06-12,Dodge,Dodge Durango (2004 on; see 402 for 1998-2003 models),2004,Michigan,LEELANAU (89)
481446,44,1,Not a Fatality (not Applicable),"Front Seat, Left Side",False,False,Not Reported,Not Reported,Test Not Given,2018-06-12,Ford,Ford F-Series pickup,1999,Texas,REFUGIO (391)
481446,21,2,Not a Fatality (not Applicable),"Front Seat, Middle",False,False,Not Reported,Not Reported,Test Not Given,2018-06-12,Ford,Ford F-Series pickup,1999,Texas,REFUGIO (391)
481446,41,2,Not a Fatality (not Applicable),"Front Seat, Right Side",False,False,Not Reported,Not Reported,Test Not Given,2018-06-12,Ford,Ford F-Series pickup,1999,Texas,REFUGIO (391)
481446,10,1,White,"Second Seat, Left Side",False,True,Not Reported,Not Reported,Test Not Given,2018-06-12,Ford,Ford F-Series pickup,1999,Texas,REFUGIO (391)
481446,15,2,Not a Fatality (not Applicable),"Second Seat, Right Side",False,False,Not Reported,Not Reported,Test Not Given,2018-06-12,Ford,Ford F-Series pickup,1999,Texas,REFUGIO (391)
63305,88,1,Unknown,"Front Seat, Left Side",True,True,No (drugs not involved),No (Alcohol Not Involved),Test Not Given,2018-06-12,Ford,Ford Ranger,2002,California,SAN DIEGO (73)
63305,33,2,Not a Fatality (not Applicable),"Front Seat, Right Side",False,False,Not Reported,Not Reported,Test Not Given,2018-06-12,Ford,Ford Ranger,2002,California,SAN DIEGO (73)
490098,43,1,White,"Front Seat, Left Side",False,True,No (drugs not involved),No (Alcohol Not Involved),0.000 % BAC,2018-06-12,Harley-Davidson,Harley-Davidson 750cc or greater,2010,Utah,PIUTE (31)
10353,44,2,Not a Fatality (not Applicable),"Front Seat, Left Side",True,False,Reported as Unknown,Reported as Unknown,0.000 % BAC,2018-06-12,Ford,"Ford Bronco (thru 1977)/Bronco II/Explorer/Explorer Sport (Explorer for 1990-2018 only.  For model years 2019 on, see 12-425.)",2000,Alabama,PICKENS (107)
10353,17,1,Not a Fatality (not Applicable),"Front Seat, Right Side",True,False,Not Reported,Not Reported,Test Not Given,2018-06-12,Ford,"Ford Bronco (thru 1977)/Bronco II/Explorer/Explorer Sport (Explorer for 1990-2018 only.  For model years 2019 on, see 12-425.)",2000,Alabama,PICKENS (107)
10353,12,1,Black,"Second Seat, Left Side",False,True,Not Reported,Not Reported,Test Not Given,2018-06-12,Ford,"Ford Bronco (thru 1977)/Bronco II/Explorer/Explorer Sport (Explorer for 1990-2018 only.  For model years 2019 on, see 12-425.)",2000,Alabama,PICKENS (107)
10353,10,2,Not a Fatality (not Applicable),"Second Seat, Middle",False,False,Not Reported,Not Reported,Test Not Given,2018-06-12,Ford,"Ford Bronco (thru 1977)/Bronco II/Explorer/Explorer Sport (Explorer for 1990-2018 only.  For model years 2019 on, see 12-425.)",2000,Alabama,PICKENS (107)
10353,5,2,Not a Fatality (not Applicable),"Second Seat, Right Side",False,False,Not Reported,Not Reported,Test Not Given,2018-06-12,Ford,"Ford Bronco (thru 1977)/Bronco II/Explorer/Explorer Sport (Explorer for 1990-2018 only.  For model years 2019 on, see 12-425.)",2000,Alabama,PICKENS (107)
40434,38,1,White,"Front Seat, Left Side",False,True,Reported as Unknown,Reported as Unknown,0.039 % BAC,2018-06-12,Ford,Ford F-Series pickup,2007,Arizona,PIMA (19)
90225,19,1,Unknown,"Front Seat, Left Side",False,True,Not Reported,Not Reported,0.000 % BAC,2018-06-12,Suzuki,Suzuki 51-124cc,1999,Connecticut,NEW HAVEN (9)
10352,63,2,White,"Front Seat, Left Side",True,True,Reported as Unknown,Reported as Unknown,0.000 % BAC,2018-06-12,Chrysler,Chrysler Sebring,2001,Alabama,TALLADEGA (121)
290346,80,1,White,"Front Seat, Left Side",False,True,Not Reported,Reported as Unknown,0.000 % BAC,2018-06-12,International Harvester/Navistar,International Harvester/Navistar Medium/Heavy - CBE,2011,Missouri,ADAIR (1)
80231,26,1,White,"Front Seat, Left Side",False,True,Yes (drugs involved),No (Alcohol Not Involved),0.000 % BAC,2018-06-12,Ford,Ford Pinto,1978,Colorado,LARIMER (69)
190105,33,1,Not a Fatality (not Applicable),"Front Seat, Left Side",False,False,No (drugs not involved),No (Alcohol Not Involved),Test Not Given,2018-06-12,Freightliner,Freightliner Medium/Heavy - CBE,2017,Iowa,CLARKE (39)
340171,82,2,Not a Fatality (not Applicable),"Front Seat, Left Side",False,False,No (drugs not involved),No (Alcohol Not Involved),Test Not Given,2018-06-12,Ford,Ford Fusion,2010,New Jersey,MERCER (21)
481447,64,1,White,"Front Seat, Left Side",False,True,Not Reported,Not Reported,Test Not Given,2018-06-12,Harley-Davidson,Harley-Davidson 750cc or greater,2017,Texas,TRAVIS (453)
390384,84,2,White,"Front Seat, Left Side",False,True,No (drugs not involved),No (Alcohol Not Involved),0.000 % BAC,2018-06-12,Chrysler,Chrysler 200,2012,Ohio,DELAWARE (41)
240208,49,1,Not a Fatality (not Applicable),"Front Seat, Left Side",True,False,No (drugs not involved),No (Alcohol Not Involved),Test Not Given,2018-06-12,GMC,"GMC C, K, R, V-series pickup/     Sierra",2003,Maryland,HARFORD (25)
410205,27,1,White,"Front Seat, Left Side",False,True,Not Reported,Not Reported,Test Not Given,2018-06-12,GMC,"GMC C, K, R, V-series pickup/     Sierra",1979,Oregon,MARION (47)
240168,35,1,Not a Fatality (not Applicable),"Front Seat, Left Side",True,False,No (drugs not involved),No (Alcohol Not Involved),Test Not Given,2018-06-12,Volkswagen,Volkswagen Jetta/Jetta SportsWagen,2014,Maryland,FREDERICK (21)
240168,72,1,Not a Fatality (not Applicable),"Front Seat, Right Side",True,False,Not Reported,Not Reported,Test Not Given,2018-06-12,Volkswagen,Volkswagen Jetta/Jetta SportsWagen,2014,Maryland,FREDERICK (21)
240168,13,2,White,"Second Seat, Right Side",True,True,Not Reported,Not Reported,0.000 % BAC,2018-06-12,Volkswagen,Volkswagen Jetta/Jetta SportsWagen,2014,Maryland,FREDERICK (21)
240168,2,1,Not a Fatality (not Applicable),"Second Seat, Left Side",True,False,Not Reported,Not Reported,Test Not Given,2018-06-12,Volkswagen,Volkswagen Jetta/Jetta SportsWagen,2014,Maryland,FREDERICK (21)
40435,27,1,Not a Fatality (not Applicable),"Front Seat, Left Side",False,False,No (drugs not involved),No (Alcohol Not Involved),0.000 % BAC,2018-06-12,Ford,Ford Focus,2000,Arizona,PIMA (19)
200209,29,1,Not a Fatality (not Applicable),"Front Seat, Left Side",True,False,No (drugs not involved),No (Alcohol Not Involved),Not Reported,2018-06-12,KIA,KIA Optima,2016,Kansas,BROWN (13)
200209,28,2,White,"Front Seat, Right Side",True,True,Not Reported,Not Reported,Not Reported,2018-06-12,KIA,KIA Optima,2016,Kansas,BROWN (13)
200209,9,1,Not a Fatality (not Applicable),"Second Seat, Left Side",False,False,Not Reported,Not Reported,Test Not Given,2018-06-12,KIA,KIA Optima,2016,Kansas,BROWN (13)
63432,33,1,White,"Front Seat, Left Side",False,True,Reported as Unknown,Reported as Unknown,0.000 % BAC,2018-06-12,KIA,KIA Forte,2011,California,SAN BERNARDINO (71)
60981,35,1,White,"Front Seat, Left Side",True,True,No (drugs not involved),Yes (Alcohol Involved),0.210 % BAC,2018-06-12,Nissan/Datsun,Nissan/Datsun Sentra,2014,California,SAN BERNARDINO (71)
360290,56,1,White,"Front Seat, Left Side",True,True,Not Reported,Not Reported,0.020 % BAC,2018-06-12,Subaru,Subaru Impreza,2017,New York,BROOME (7)
360290,54,2,White,"Front Seat, Right Side",True,True,Not Reported,Not Reported,Test Not Given,2018-06-12,Subaru,Subaru Impreza,2017,New York,BROOME (7)
430118,45,1,Not a Fatality (not Applicable),"Front Seat, Left Side",False,False,Not Reported,No (Alcohol Not Involved),0.000 % BAC,2018-06-12,Ford,Ford Escort/EXP/ZX2,1998,Puerto Rico,PUERTO RICO (72)
390397,25,1,Not a Fatality (not Applicable),"Front Seat, Left Side",True,False,Yes (drugs involved),No (Alcohol Not Involved),0.000 % BAC,2018-06-12,Pontiac,Pontiac Vibe,2004,Ohio,SCIOTO (145)
390397,23,2,Not a Fatality (not Applicable),"Front Seat, Right Side",True,False,Not Reported,Not Reported,Test Not Given,2018-06-12,Pontiac,Pontiac Vibe,2004,Ohio,SCIOTO (145)
390397,1,2,Black,"Second Seat, Right Side",False,True,Not Reported,Not Reported,Test Not Given,2018-06-12,Pontiac,Pontiac Vibe,2004,Ohio,SCIOTO (145)
470399,49,2,White,"Front Seat, Left Side",True,True,No (drugs not involved),No (Alcohol Not Involved),0.000 % BAC,2018-06-12,Mercury,Mercury Mariner,2006,Tennessee,MCNAIRY (109)
20026,62,1,White,"Front Seat, Left Side",False,True,Reported as Unknown,Yes (Alcohol Involved),0.188 % BAC,2018-06-12,Harley-Davidson,Harley-Davidson 750cc or greater,2007,Alaska,KENAI PENINSULA (122)
180310,54,1,White,"Front Seat, Left Side",False,True,Yes (drugs involved),Yes (Alcohol Involved),0.180 % BAC,2018-06-12,Ford,Ford Focus,2004,Indiana,DEARBORN (29)
490092,61,1,White,"Front Seat, Left Side",False,True,No (drugs not involved),No (Alcohol Not Involved),0.000 % BAC,2018-06-12,Other Make,Other Make Unknown cc (ATV),2017,Utah,DAVIS (11)
360286,61,1,Not a Fatality (not Applicable),"Front Seat, Left Side",False,False,Not Reported,No (Alcohol Not Involved),Not Reported,2018-06-12,Toyota,Toyota 4-Runner,1999,New York,KINGS (47)
320044,32,1,Filipino,"Front Seat, Left Side",False,True,Reported as Unknown,Reported as Unknown,Test Not Given,2018-06-12,Other Make,Other Make Unknown cc,2017,Nevada,CLARK (3)
250178,20,2,Not a Fatality (not Applicable),"Front Seat, Left Side",False,False,No (drugs not involved),No (Alcohol Not Involved),Test Not Given,2018-06-12,Nissan/Datsun,Nissan/Datsun Pathfinder,2006,Massachusetts,WORCESTER (27)
121371,55,2,White,"Front Seat, Left Side",True,True,No (drugs not involved),Yes (Alcohol Involved),0.280 % BAC,2018-06-12,Dodge,Dodge Ram Pickup,2012,Florida,PUTNAM (107)
390641,999,9,Not a Fatality (not Applicable),"Front Seat, Left Side",True,False,No (drugs not involved),No (Alcohol Not Involved),Test Not Given,2018-06-12,Toyota,Toyota Celica,2002,Ohio,FAIRFIELD (45)
340197,19,1,Not a Fatality (not Applicable),"Front Seat, Left Side",True,False,No (drugs not involved),No (Alcohol Not Involved),Test Not Given,2018-06-12,Toyota,Toyota Sienna,2015,New Jersey,MIDDLESEX (23)
121276,999,9,Not a Fatality (not Applicable),"Front Seat, Left Side",False,False,No (drugs not involved),No (Alcohol Not Involved),Test Not Given,2018-06-12,Unknown Make,"Unknown Make Unknown (as to automobile, motored cycle, light truck or truck)",9999,Florida,LEE (71)
450392,18,1,White,"Front Seat, Left Side",True,True,No (drugs not involved),No (Alcohol Not Involved),0.000 % BAC,2018-06-12,Mitsubishi,Mitsubishi Eclipse,2004,South Carolina,LEXINGTON (63)
